[00:00:00.000 --> 00:00:04.000]   Part Four: Sound.
[00:00:04.000 --> 00:00:07.000]   For this part of the guide, I worked with artist and friend, Ann Chen.
[00:00:07.000 --> 00:00:12.000]   So far, we focused on gathering, editing, and reconstructing these spaces
[00:00:12.000 --> 00:00:17.000]   using visual imagery from archives, personal sources, or the internet.
[00:00:17.000 --> 00:00:22.000]   Adding sound to your reconstruction can be a powerful method to augment
[00:00:22.000 --> 00:00:27.000]   a visitor's experience of your space and also reconnect with memories and histories.
[00:00:27.000 --> 00:00:32.000]   At a basic level, the ambient sounds of a neighborhood help to create a sense of being there,
[00:00:32.000 --> 00:00:37.000]   from the noise of traffic to the blowing of the wind to the sounds of people talking,
[00:00:37.000 --> 00:00:40.000]   doing things, and spending time together.
[00:00:40.000 --> 00:00:44.000]   Searching for high-quality sound recordings from our past can often be more difficult
[00:00:44.000 --> 00:00:47.000]   than searching for historic images or films.
[00:00:47.000 --> 00:00:51.000]   Introducing sounds into your environment and composing a soundscape
[00:00:51.000 --> 00:00:55.000]   can be challenging when so little material exists.
[00:00:55.000 --> 00:01:00.000]   A solution we've come up with is to take a speculative approach to sound design.
[00:01:00.000 --> 00:01:05.000]   When the audio recordings you need do not exist, how do we rely on other sources,
[00:01:05.000 --> 00:01:10.000]   memory, texts, descriptions, visuals, oral histories,
[00:01:10.000 --> 00:01:13.000]   to recreate the soundscape of a place in the past?
[00:01:13.000 --> 00:01:17.000]   In this section, we will introduce some exercises, suggestions,
[00:01:17.000 --> 00:01:22.000]   and tips on how to listen, record, and stitch together sounds to add to your environment.
[00:01:22.000 --> 00:01:30.000]   If sounds from the neighborhood or place you are creating are not easily accessible or available,
[00:01:30.000 --> 00:01:34.000]   we can start with other historical sources and ephemera.
[00:01:34.000 --> 00:01:40.000]   For this example, we will use a photograph from the Library of Congress of a fish market in San Francisco's Chinatown.
[00:01:40.000 --> 00:01:43.000]   Take a few minutes to study this photograph.
[00:01:43.000 --> 00:01:47.000]   Write down every detail you can see in the image.
[00:01:47.000 --> 00:01:50.000]   Try to be as descriptive as possible.
[00:01:50.000 --> 00:01:54.000]   What are they doing? What are they wearing?
[00:01:54.000 --> 00:01:59.000]   Now try to imagine the types of sounds that are associated with these details.
[00:01:59.000 --> 00:02:05.000]   In this photograph, you can see a young man in a wide brimmed hat holding a basket
[00:02:05.000 --> 00:02:07.000]   looking down at a piece of fish on the table.
[00:02:07.000 --> 00:02:11.000]   The fishmonger standing next to him is looking at him in mid-chop.
